Time,Behavior
0,Trial start
423.606,First discovery
2182.085,Transport
2326.387,Transport
2369.937,Attempted reverse tandem run
2505.672,Transport
2516.187,Transport
2580.679,Attempted tandem run
2701.493,Transport
2758.752,Transport
3135.398,Tandem run
3229.905,Transport
3298.895,Transport
3660.944,Transport
3700.947,Transport
3720.444,Tandem run
3811.195,Tandem run
4377.692,Tandem run
4627.381,Tandem run
4698.381,Attempted tandem run
4824.023,Transport
5060.274,Tandem run
5240.879,Transport
5254.328,Attempted tandem run
5360.335,Brood transport
5467.002,Attempted reverse tandem run
5599.002,Transport
5738.032,Attempted tandem run
5816.292,Transport
5996.282,Attempted reverse tandem run
6027.282,Transport
6040.534,Tandem run
6173.911,Transport
6211.904,Transport
6265.911,Brood transport
6269.406,Brood transport
6275.406,Transport
6282.399,Transport
6321.125,Transport
6342.107,Transport
6501.723,Transport
6545.709,Brood transport
6555.713,Transport
6556.716,Transport
6558.716,Transport
6603.716,Attempted tandem run
6672.972,Transport
6682.215,Brood transport
6732.802,Queen transport
6840.802,Brood transport
6847.311,Attempted reverse tandem run
6895.812,Transport
6919.802,Brood transport
6975.549,Brood transport
6987.553,Brood transport
7000.549,Transport
7042.556,Brood transport
7045.061,Brood transport
7053.044,Transport
7078.054,Brood transport
7084.058,Transport
7124.051,Transport
7178.047,Transport
7251.05,Brood transport
7255.04,Brood transport
7330.047,Brood transport
7334.534,Transport
7338.538,Transport
7486.794,Transport
7496.794,Brood transport
7566.794,Transport
7578.787,Brood transport
7628.787,Brood transport
7629.801,Brood transport
7668.787,Transport
7740.299,Transport
7748.033,Brood transport
7751.043,Transport
7772.811,Attempted reverse tandem run
7839.847,Transport
7848.342,Brood transport
7886.093,Transport
7917.089,Transport
7920.096,Transport
7928.1,Transport
7935.096,Transport
8005.1,Brood transport
8014.353,Transport
8026.811,Brood transport
8033.828,Transport
8117.811,Transport
8137.811,Transport
8146.814,Transport
8161.814,Transport
8263.818,Transport
8414.821,Transport
8560.818,Transport
8874.807,Transport
9358.312,Transport
